"","type","batch"
"cell 4550","alpha","smartseq2"
"cell 4551","alpha","smartseq2"
"cell 4552","alpha","smartseq2"
"cell 4553","alpha","smartseq2"
"cell 4554","alpha","smartseq2"
"cell 4555","alpha","smartseq2"
"cell 4556","alpha","smartseq2"
"cell 4557","alpha","smartseq2"
"cell 4558","alpha","smartseq2"
"cell 4559","alpha","smartseq2"
"cell 4560","alpha","smartseq2"
"cell 4561","alpha","smartseq2"
"cell 4562","alpha","smartseq2"
"cell 4563","alpha","smartseq2"
"cell 4564","alpha","smartseq2"
"cell 4565","alpha","smartseq2"
"cell 4566","alpha","smartseq2"
"cell 4567","alpha","smartseq2"
"cell 4568","alpha","smartseq2"
"cell 4569","alpha","smartseq2"
"cell 4570","alpha","smartseq2"
"cell 4571","alpha","smartseq2"
"cell 4572","alpha","smartseq2"
"cell 4573","alpha","smartseq2"
"cell 4574","alpha","smartseq2"
"cell 4575","alpha","smartseq2"
"cell 4576","alpha","smartseq2"
"cell 4577","alpha","smartseq2"
"cell 4578","alpha","smartseq2"
"cell 4579","alpha","smartseq2"
"cell 4580","alpha","smartseq2"
"cell 4581","alpha","smartseq2"
"cell 4582","alpha","smartseq2"
"cell 4583","alpha","smartseq2"
"cell 4584","alpha","smartseq2"
"cell 4585","alpha","smartseq2"
"cell 4586","alpha","smartseq2"
"cell 4587","alpha","smartseq2"
"cell 4588","alpha","smartseq2"
"cell 4589","alpha","smartseq2"
"cell 4590","alpha","smartseq2"
"cell 4591","alpha","smartseq2"
"cell 4592","alpha","smartseq2"
"cell 4593","alpha","smartseq2"
"cell 4594","alpha","smartseq2"
"cell 4595","alpha","smartseq2"
"cell 4596","alpha","smartseq2"
"cell 4597","alpha","smartseq2"
"cell 4598","alpha","smartseq2"
"cell 4599","alpha","smartseq2"
"cell 4600","alpha","smartseq2"
"cell 4601","alpha","smartseq2"
"cell 4602","alpha","smartseq2"
"cell 4603","alpha","smartseq2"
"cell 4604","alpha","smartseq2"
"cell 4605","alpha","smartseq2"
"cell 4606","alpha","smartseq2"
"cell 4607","alpha","smartseq2"
"cell 4608","alpha","smartseq2"
"cell 4609","alpha","smartseq2"
"cell 4610","alpha","smartseq2"
"cell 4611","alpha","smartseq2"
"cell 4612","alpha","smartseq2"
"cell 4613","alpha","smartseq2"
"cell 4614","alpha","smartseq2"
"cell 4615","alpha","smartseq2"
"cell 4616","alpha","smartseq2"
"cell 4617","alpha","smartseq2"
"cell 4618","alpha","smartseq2"
"cell 4619","alpha","smartseq2"
"cell 4620","alpha","smartseq2"
"cell 4621","alpha","smartseq2"
"cell 4622","alpha","smartseq2"
"cell 4623","alpha","smartseq2"
"cell 4624","alpha","smartseq2"
"cell 4625","alpha","smartseq2"
"cell 4626","alpha","smartseq2"
"cell 4627","alpha","smartseq2"
"cell 4628","alpha","smartseq2"
"cell 4629","alpha","smartseq2"
"cell 4630","alpha","smartseq2"
"cell 4631","alpha","smartseq2"
"cell 4632","alpha","smartseq2"
"cell 4633","alpha","smartseq2"
"cell 4634","alpha","smartseq2"
"cell 4635","alpha","smartseq2"
"cell 4636","alpha","smartseq2"
"cell 4637","alpha","smartseq2"
"cell 4638","alpha","smartseq2"
"cell 4639","alpha","smartseq2"
"cell 4640","alpha","smartseq2"
"cell 4641","alpha","smartseq2"
"cell 4642","alpha","smartseq2"
"cell 4643","alpha","smartseq2"
"cell 4644","alpha","smartseq2"
"cell 4645","alpha","smartseq2"
"cell 4646","alpha","smartseq2"
"cell 4647","alpha","smartseq2"
"cell 4648","alpha","smartseq2"
"cell 4649","alpha","smartseq2"
"cell 4650","alpha","smartseq2"
"cell 4651","alpha","smartseq2"
"cell 4652","alpha","smartseq2"
"cell 4653","alpha","smartseq2"
"cell 4654","alpha","smartseq2"
"cell 4655","alpha","smartseq2"
"cell 4656","alpha","smartseq2"
"cell 4657","alpha","smartseq2"
"cell 4658","alpha","smartseq2"
"cell 4659","alpha","smartseq2"
"cell 4660","alpha","smartseq2"
"cell 4661","alpha","smartseq2"
"cell 4662","alpha","smartseq2"
"cell 4663","alpha","smartseq2"
"cell 4664","alpha","smartseq2"
"cell 4665","alpha","smartseq2"
"cell 4666","alpha","smartseq2"
"cell 4667","alpha","smartseq2"
"cell 4668","alpha","smartseq2"
"cell 4669","alpha","smartseq2"
"cell 4670","alpha","smartseq2"
"cell 4671","alpha","smartseq2"
"cell 4672","alpha","smartseq2"
"cell 4673","alpha","smartseq2"
"cell 4674","alpha","smartseq2"
"cell 4675","alpha","smartseq2"
"cell 4676","alpha","smartseq2"
"cell 4677","alpha","smartseq2"
"cell 4678","alpha","smartseq2"
"cell 4679","alpha","smartseq2"
"cell 4680","alpha","smartseq2"
"cell 4681","alpha","smartseq2"
"cell 4682","alpha","smartseq2"
"cell 4683","alpha","smartseq2"
"cell 4684","alpha","smartseq2"
"cell 4685","alpha","smartseq2"
"cell 4686","alpha","smartseq2"
"cell 4687","alpha","smartseq2"
"cell 4688","alpha","smartseq2"
"cell 4689","alpha","smartseq2"
"cell 4690","alpha","smartseq2"
"cell 4691","alpha","smartseq2"
"cell 4692","alpha","smartseq2"
"cell 4693","alpha","smartseq2"
"cell 4694","alpha","smartseq2"
"cell 4695","alpha","smartseq2"
"cell 4696","alpha","smartseq2"
"cell 4697","alpha","smartseq2"
"cell 4698","alpha","smartseq2"
"cell 4699","alpha","smartseq2"
"cell 4700","alpha","smartseq2"
"cell 4701","alpha","smartseq2"
"cell 4702","alpha","smartseq2"
"cell 4703","alpha","smartseq2"
"cell 4704","alpha","smartseq2"
"cell 4705","alpha","smartseq2"
"cell 4706","alpha","smartseq2"
"cell 4707","alpha","smartseq2"
"cell 4708","alpha","smartseq2"
"cell 4709","alpha","smartseq2"
"cell 4710","alpha","smartseq2"
"cell 4711","alpha","smartseq2"
"cell 4712","alpha","smartseq2"
"cell 4713","alpha","smartseq2"
"cell 4714","alpha","smartseq2"
"cell 4715","alpha","smartseq2"
"cell 4716","alpha","smartseq2"
"cell 4717","alpha","smartseq2"
"cell 4718","alpha","smartseq2"
"cell 4719","alpha","smartseq2"
"cell 4720","alpha","smartseq2"
"cell 4721","alpha","smartseq2"
"cell 4722","alpha","smartseq2"
"cell 4723","alpha","smartseq2"
"cell 4724","alpha","smartseq2"
"cell 4725","alpha","smartseq2"
"cell 4726","alpha","smartseq2"
"cell 4727","alpha","smartseq2"
"cell 4728","alpha","smartseq2"
"cell 4729","alpha","smartseq2"
"cell 4730","alpha","smartseq2"
"cell 4731","alpha","smartseq2"
"cell 4732","alpha","smartseq2"
"cell 4733","alpha","smartseq2"
"cell 4734","alpha","smartseq2"
"cell 4735","alpha","smartseq2"
"cell 4736","alpha","smartseq2"
"cell 4737","alpha","smartseq2"
"cell 4738","alpha","smartseq2"
"cell 4739","alpha","smartseq2"
"cell 4740","alpha","smartseq2"
"cell 4741","alpha","smartseq2"
"cell 4742","alpha","smartseq2"
"cell 4743","alpha","smartseq2"
"cell 4744","alpha","smartseq2"
"cell 4745","alpha","smartseq2"
"cell 4746","alpha","smartseq2"
"cell 4747","alpha","smartseq2"
"cell 4748","alpha","smartseq2"
"cell 4749","alpha","smartseq2"
"cell 4750","alpha","smartseq2"
"cell 4751","alpha","smartseq2"
"cell 4752","alpha","smartseq2"
"cell 4753","alpha","smartseq2"
"cell 4754","alpha","smartseq2"
"cell 4755","alpha","smartseq2"
"cell 4756","alpha","smartseq2"
"cell 4757","alpha","smartseq2"
"cell 4758","alpha","smartseq2"
"cell 4759","alpha","smartseq2"
"cell 4760","alpha","smartseq2"
"cell 4761","alpha","smartseq2"
"cell 4762","alpha","smartseq2"
"cell 4763","alpha","smartseq2"
"cell 4764","alpha","smartseq2"
"cell 4765","alpha","smartseq2"
"cell 4766","alpha","smartseq2"
"cell 4767","alpha","smartseq2"
"cell 4768","alpha","smartseq2"
"cell 4769","alpha","smartseq2"
"cell 4770","alpha","smartseq2"
"cell 4771","alpha","smartseq2"
"cell 4772","alpha","smartseq2"
"cell 4773","alpha","smartseq2"
"cell 4774","alpha","smartseq2"
"cell 4775","alpha","smartseq2"
"cell 4776","alpha","smartseq2"
"cell 4777","alpha","smartseq2"
"cell 4778","alpha","smartseq2"
"cell 4779","alpha","smartseq2"
"cell 4780","alpha","smartseq2"
"cell 4781","alpha","smartseq2"
"cell 4782","alpha","smartseq2"
"cell 4783","alpha","smartseq2"
"cell 4784","alpha","smartseq2"
"cell 4785","alpha","smartseq2"
"cell 4786","alpha","smartseq2"
"cell 4787","alpha","smartseq2"
"cell 4788","alpha","smartseq2"
"cell 4789","alpha","smartseq2"
"cell 4790","alpha","smartseq2"
"cell 4791","alpha","smartseq2"
"cell 4792","alpha","smartseq2"
"cell 4793","alpha","smartseq2"
"cell 4794","alpha","smartseq2"
"cell 4795","alpha","smartseq2"
"cell 4796","alpha","smartseq2"
"cell 4797","alpha","smartseq2"
"cell 4798","alpha","smartseq2"
"cell 4799","alpha","smartseq2"
"cell 4800","alpha","smartseq2"
"cell 4801","alpha","smartseq2"
"cell 4802","alpha","smartseq2"
"cell 4803","alpha","smartseq2"
"cell 4804","alpha","smartseq2"
"cell 4805","alpha","smartseq2"
"cell 4806","alpha","smartseq2"
"cell 4807","alpha","smartseq2"
"cell 4808","alpha","smartseq2"
"cell 4809","alpha","smartseq2"
"cell 4810","alpha","smartseq2"
"cell 4811","alpha","smartseq2"
"cell 4812","alpha","smartseq2"
"cell 4813","alpha","smartseq2"
"cell 4814","alpha","smartseq2"
"cell 4815","alpha","smartseq2"
"cell 4816","alpha","smartseq2"
"cell 4817","alpha","smartseq2"
"cell 4818","alpha","smartseq2"
"cell 4819","alpha","smartseq2"
"cell 4820","alpha","smartseq2"
"cell 4821","alpha","smartseq2"
"cell 4822","alpha","smartseq2"
"cell 4823","alpha","smartseq2"
"cell 4824","alpha","smartseq2"
"cell 4825","alpha","smartseq2"
"cell 4826","alpha","smartseq2"
"cell 4827","alpha","smartseq2"
"cell 4828","alpha","smartseq2"
"cell 4829","alpha","smartseq2"
"cell 4830","alpha","smartseq2"
"cell 4831","alpha","smartseq2"
"cell 4832","alpha","smartseq2"
"cell 4833","alpha","smartseq2"
"cell 4834","alpha","smartseq2"
"cell 4835","alpha","smartseq2"
"cell 4836","alpha","smartseq2"
"cell 4837","alpha","smartseq2"
"cell 4838","alpha","smartseq2"
"cell 4839","alpha","smartseq2"
"cell 4840","alpha","smartseq2"
"cell 4841","alpha","smartseq2"
"cell 4842","alpha","smartseq2"
"cell 4843","alpha","smartseq2"
"cell 4844","alpha","smartseq2"
"cell 4845","alpha","smartseq2"
"cell 4846","alpha","smartseq2"
"cell 4847","alpha","smartseq2"
"cell 4848","alpha","smartseq2"
"cell 4849","alpha","smartseq2"
"cell 4850","alpha","smartseq2"
"cell 4851","alpha","smartseq2"
"cell 4852","alpha","smartseq2"
"cell 4853","alpha","smartseq2"
"cell 4854","alpha","smartseq2"
"cell 4855","alpha","smartseq2"
"cell 4856","alpha","smartseq2"
"cell 4857","alpha","smartseq2"
"cell 4858","alpha","smartseq2"
"cell 4859","alpha","smartseq2"
"cell 4860","alpha","smartseq2"
"cell 4861","alpha","smartseq2"
"cell 4862","alpha","smartseq2"
"cell 4863","alpha","smartseq2"
"cell 4864","alpha","smartseq2"
"cell 4865","alpha","smartseq2"
"cell 4866","alpha","smartseq2"
"cell 4867","alpha","smartseq2"
"cell 4868","alpha","smartseq2"
"cell 4869","alpha","smartseq2"
"cell 4870","alpha","smartseq2"
"cell 4871","alpha","smartseq2"
"cell 4872","alpha","smartseq2"
"cell 4873","alpha","smartseq2"
"cell 4874","alpha","smartseq2"
"cell 4875","alpha","smartseq2"
"cell 4876","alpha","smartseq2"
"cell 4877","alpha","smartseq2"
"cell 4878","alpha","smartseq2"
"cell 4879","alpha","smartseq2"
"cell 4880","alpha","smartseq2"
"cell 4881","alpha","smartseq2"
"cell 4882","alpha","smartseq2"
"cell 4883","alpha","smartseq2"
"cell 4884","alpha","smartseq2"
"cell 4885","alpha","smartseq2"
"cell 4886","alpha","smartseq2"
"cell 4887","alpha","smartseq2"
"cell 4888","alpha","smartseq2"
"cell 4889","alpha","smartseq2"
"cell 4890","alpha","smartseq2"
"cell 4891","alpha","smartseq2"
"cell 4892","alpha","smartseq2"
"cell 4893","alpha","smartseq2"
"cell 4894","alpha","smartseq2"
"cell 4895","alpha","smartseq2"
"cell 4896","alpha","smartseq2"
"cell 4897","alpha","smartseq2"
"cell 4898","alpha","smartseq2"
"cell 4899","alpha","smartseq2"
"cell 4900","alpha","smartseq2"
"cell 4901","alpha","smartseq2"
"cell 4902","beta","smartseq2"
"cell 4903","beta","smartseq2"
"cell 4904","beta","smartseq2"
"cell 4905","beta","smartseq2"
"cell 4906","beta","smartseq2"
"cell 4907","beta","smartseq2"
"cell 4908","beta","smartseq2"
"cell 4909","beta","smartseq2"
"cell 4910","beta","smartseq2"
"cell 4911","beta","smartseq2"
"cell 4912","beta","smartseq2"
"cell 4913","beta","smartseq2"
"cell 4914","beta","smartseq2"
"cell 4915","beta","smartseq2"
"cell 4916","beta","smartseq2"
"cell 4917","beta","smartseq2"
"cell 4918","beta","smartseq2"
"cell 4919","beta","smartseq2"
"cell 4920","beta","smartseq2"
"cell 4921","beta","smartseq2"
"cell 4922","beta","smartseq2"
"cell 4923","beta","smartseq2"
"cell 4924","beta","smartseq2"
"cell 4925","beta","smartseq2"
"cell 4926","beta","smartseq2"
"cell 4927","beta","smartseq2"
"cell 4928","beta","smartseq2"
"cell 4929","beta","smartseq2"
"cell 4930","beta","smartseq2"
"cell 4931","beta","smartseq2"
"cell 4932","beta","smartseq2"
"cell 4933","beta","smartseq2"
"cell 4934","beta","smartseq2"
"cell 4935","beta","smartseq2"
"cell 4936","beta","smartseq2"
"cell 4937","beta","smartseq2"
"cell 4938","beta","smartseq2"
"cell 4939","beta","smartseq2"
"cell 4940","beta","smartseq2"
"cell 4941","beta","smartseq2"
"cell 4942","beta","smartseq2"
"cell 4943","beta","smartseq2"
"cell 4944","beta","smartseq2"
"cell 4945","beta","smartseq2"
"cell 4946","beta","smartseq2"
"cell 4947","beta","smartseq2"
"cell 4948","beta","smartseq2"
"cell 4949","beta","smartseq2"
"cell 4950","beta","smartseq2"
"cell 4951","beta","smartseq2"
"cell 4952","beta","smartseq2"
"cell 4953","beta","smartseq2"
"cell 4954","beta","smartseq2"
"cell 4955","beta","smartseq2"
"cell 4956","beta","smartseq2"
"cell 4957","beta","smartseq2"
"cell 4958","beta","smartseq2"
"cell 4959","beta","smartseq2"
"cell 4960","beta","smartseq2"
"cell 4961","beta","smartseq2"
"cell 4962","beta","smartseq2"
"cell 4963","beta","smartseq2"
"cell 4964","beta","smartseq2"
"cell 4965","beta","smartseq2"
"cell 4966","beta","smartseq2"
"cell 4967","beta","smartseq2"
"cell 4968","beta","smartseq2"
"cell 4969","beta","smartseq2"
"cell 4970","beta","smartseq2"
"cell 4971","beta","smartseq2"
"cell 4972","beta","smartseq2"
"cell 4973","beta","smartseq2"
"cell 4974","beta","smartseq2"
"cell 4975","beta","smartseq2"
"cell 4976","beta","smartseq2"
"cell 4977","beta","smartseq2"
"cell 4978","beta","smartseq2"
"cell 4979","beta","smartseq2"
"cell 4980","beta","smartseq2"
"cell 4981","beta","smartseq2"
"cell 4982","beta","smartseq2"
"cell 4983","beta","smartseq2"
"cell 4984","beta","smartseq2"
"cell 4985","beta","smartseq2"
"cell 4986","beta","smartseq2"
"cell 4987","beta","smartseq2"
"cell 4988","beta","smartseq2"
"cell 4989","beta","smartseq2"
"cell 4990","beta","smartseq2"
"cell 4991","beta","smartseq2"
"cell 4992","beta","smartseq2"
"cell 4993","beta","smartseq2"
"cell 4994","beta","smartseq2"
"cell 4995","beta","smartseq2"
"cell 4996","beta","smartseq2"
"cell 4997","beta","smartseq2"
"cell 4998","beta","smartseq2"
"cell 4999","beta","smartseq2"
"cell 5000","beta","smartseq2"
"cell 5001","beta","smartseq2"
"cell 5002","beta","smartseq2"
"cell 5003","beta","smartseq2"
"cell 5004","beta","smartseq2"
"cell 5005","beta","smartseq2"
"cell 5006","beta","smartseq2"
"cell 5007","beta","smartseq2"
"cell 5008","beta","smartseq2"
"cell 5009","beta","smartseq2"
"cell 5010","beta","smartseq2"
"cell 5011","beta","smartseq2"
"cell 5012","beta","smartseq2"
"cell 5013","beta","smartseq2"
"cell 5014","beta","smartseq2"
"cell 5015","beta","smartseq2"
"cell 5016","beta","smartseq2"
"cell 5017","beta","smartseq2"
"cell 5018","beta","smartseq2"
"cell 5019","beta","smartseq2"
"cell 5020","beta","smartseq2"
"cell 5021","beta","smartseq2"
"cell 5022","beta","smartseq2"
"cell 5023","beta","smartseq2"
"cell 5024","beta","smartseq2"
"cell 5025","beta","smartseq2"
"cell 5026","beta","smartseq2"
"cell 5027","beta","smartseq2"
"cell 5028","beta","smartseq2"
"cell 5029","beta","smartseq2"
"cell 5030","beta","smartseq2"
"cell 5031","beta","smartseq2"
"cell 5032","beta","smartseq2"
"cell 5033","beta","smartseq2"
"cell 5034","beta","smartseq2"
"cell 5035","beta","smartseq2"
"cell 5036","beta","smartseq2"
"cell 5037","beta","smartseq2"
"cell 5038","beta","smartseq2"
"cell 5039","beta","smartseq2"
"cell 5040","beta","smartseq2"
"cell 5041","beta","smartseq2"
"cell 5042","beta","smartseq2"
"cell 5043","beta","smartseq2"
"cell 5044","beta","smartseq2"
"cell 5045","beta","smartseq2"
"cell 5046","beta","smartseq2"
"cell 5047","beta","smartseq2"
"cell 5048","beta","smartseq2"
"cell 5049","beta","smartseq2"
"cell 5050","beta","smartseq2"
"cell 5051","beta","smartseq2"
"cell 5052","beta","smartseq2"
"cell 5053","beta","smartseq2"
"cell 5054","beta","smartseq2"
"cell 5055","beta","smartseq2"
"cell 5056","beta","smartseq2"
"cell 5057","beta","smartseq2"
"cell 5058","beta","smartseq2"
"cell 5059","beta","smartseq2"
"cell 5060","beta","smartseq2"
"cell 5061","beta","smartseq2"
"cell 5062","beta","smartseq2"
"cell 5063","beta","smartseq2"
"cell 5064","beta","smartseq2"
"cell 5065","beta","smartseq2"
"cell 5066","beta","smartseq2"
"cell 5067","beta","smartseq2"
"cell 5068","beta","smartseq2"
"cell 5069","beta","smartseq2"
"cell 5070","beta","smartseq2"
"cell 5071","beta","smartseq2"
"cell 5072","beta","smartseq2"
"cell 5073","beta","smartseq2"
"cell 5074","beta","smartseq2"
"cell 5075","beta","smartseq2"
"cell 5076","beta","smartseq2"
"cell 5077","beta","smartseq2"
"cell 5078","beta","smartseq2"
"cell 5079","beta","smartseq2"
"cell 5080","beta","smartseq2"
"cell 5081","beta","smartseq2"
"cell 5082","beta","smartseq2"
"cell 5083","beta","smartseq2"
"cell 5084","beta","smartseq2"
"cell 5085","beta","smartseq2"
"cell 5086","beta","smartseq2"
"cell 5087","beta","smartseq2"
"cell 5088","beta","smartseq2"
"cell 5089","beta","smartseq2"
"cell 5090","beta","smartseq2"
"cell 5091","beta","smartseq2"
"cell 5092","beta","smartseq2"
"cell 5093","beta","smartseq2"
"cell 5094","beta","smartseq2"
"cell 5095","beta","smartseq2"
"cell 5096","beta","smartseq2"
"cell 5097","beta","smartseq2"
"cell 5098","beta","smartseq2"
"cell 5099","beta","smartseq2"
"cell 5100","beta","smartseq2"
"cell 5101","beta","smartseq2"
"cell 5102","beta","smartseq2"
"cell 5103","beta","smartseq2"
"cell 5104","beta","smartseq2"
"cell 5105","beta","smartseq2"
"cell 5106","beta","smartseq2"
"cell 5107","beta","smartseq2"
"cell 5108","beta","smartseq2"
"cell 5109","beta","smartseq2"
"cell 5110","beta","smartseq2"
"cell 5111","beta","smartseq2"
"cell 5112","beta","smartseq2"
"cell 5113","beta","smartseq2"
"cell 5114","beta","smartseq2"
"cell 5115","beta","smartseq2"
"cell 5116","beta","smartseq2"
"cell 5117","beta","smartseq2"
"cell 5118","beta","smartseq2"
"cell 5119","beta","smartseq2"
"cell 5120","beta","smartseq2"
"cell 5121","beta","smartseq2"
"cell 5122","beta","smartseq2"
"cell 5123","beta","smartseq2"
"cell 5124","beta","smartseq2"
"cell 5125","beta","smartseq2"
"cell 5126","beta","smartseq2"
"cell 5127","beta","smartseq2"
"cell 5128","beta","smartseq2"
"cell 5129","beta","smartseq2"
"cell 5130","beta","smartseq2"
"cell 5131","beta","smartseq2"
"cell 5132","beta","smartseq2"
"cell 5133","beta","smartseq2"
"cell 5134","beta","smartseq2"
"cell 5135","beta","smartseq2"
"cell 5136","beta","smartseq2"
"cell 5137","beta","smartseq2"
"cell 5138","beta","smartseq2"
"cell 5139","beta","smartseq2"
"cell 5140","beta","smartseq2"
"cell 5141","beta","smartseq2"
"cell 5142","beta","smartseq2"
"cell 5143","beta","smartseq2"
"cell 5144","beta","smartseq2"
"cell 5145","beta","smartseq2"
"cell 5146","beta","smartseq2"
"cell 5147","beta","smartseq2"
"cell 5148","beta","smartseq2"
"cell 5149","beta","smartseq2"
"cell 5150","beta","smartseq2"
"cell 5151","beta","smartseq2"
"cell 5152","beta","smartseq2"
"cell 5153","beta","smartseq2"
"cell 5154","beta","smartseq2"
"cell 5155","beta","smartseq2"
"cell 5156","beta","smartseq2"
"cell 5157","beta","smartseq2"
"cell 5158","beta","smartseq2"
"cell 5159","beta","smartseq2"
"cell 5160","beta","smartseq2"
"cell 5161","beta","smartseq2"
"cell 5162","beta","smartseq2"
"cell 5163","beta","smartseq2"
"cell 5164","beta","smartseq2"
"cell 5165","beta","smartseq2"
"cell 5166","beta","smartseq2"
"cell 5167","beta","smartseq2"
"cell 5168","beta","smartseq2"
"cell 5169","beta","smartseq2"
"cell 5170","beta","smartseq2"
"cell 5171","beta","smartseq2"
"cell 5172","beta","smartseq2"
"cell 5173","beta","smartseq2"
"cell 5174","beta","smartseq2"
"cell 5175","beta","smartseq2"
"cell 5176","beta","smartseq2"
"cell 5177","beta","smartseq2"
"cell 5178","beta","smartseq2"
"cell 5179","beta","smartseq2"
"cell 5180","beta","smartseq2"
"cell 5181","beta","smartseq2"
"cell 5182","beta","smartseq2"
"cell 5183","beta","smartseq2"
"cell 5184","beta","smartseq2"
"cell 5185","beta","smartseq2"
"cell 5186","beta","smartseq2"
"cell 5187","beta","smartseq2"
"cell 5188","beta","smartseq2"
"cell 5189","beta","smartseq2"
"cell 5190","beta","smartseq2"
"cell 5191","beta","smartseq2"
"cell 5192","beta","smartseq2"
"cell 5193","beta","smartseq2"
"cell 5194","beta","smartseq2"
"cell 5195","beta","smartseq2"
"cell 5196","beta","smartseq2"
"cell 5197","beta","smartseq2"
"cell 5198","beta","smartseq2"
"cell 5199","beta","smartseq2"
"cell 5200","beta","smartseq2"
"cell 5201","beta","smartseq2"
"cell 5202","beta","smartseq2"
"cell 5203","beta","smartseq2"
"cell 5204","beta","smartseq2"
"cell 5205","beta","smartseq2"
"cell 5206","beta","smartseq2"
"cell 5207","beta","smartseq2"
"cell 5208","beta","smartseq2"
"cell 5209","beta","smartseq2"
"cell 5210","delta","smartseq2"
"cell 5211","delta","smartseq2"
"cell 5212","delta","smartseq2"
"cell 5213","delta","smartseq2"
"cell 5214","delta","smartseq2"
"cell 5215","delta","smartseq2"
"cell 5216","delta","smartseq2"
"cell 5217","delta","smartseq2"
"cell 5218","delta","smartseq2"
"cell 5219","delta","smartseq2"
"cell 5220","delta","smartseq2"
"cell 5221","delta","smartseq2"
"cell 5222","delta","smartseq2"
"cell 5223","delta","smartseq2"
"cell 5224","delta","smartseq2"
"cell 5225","delta","smartseq2"
"cell 5226","delta","smartseq2"
"cell 5227","delta","smartseq2"
"cell 5228","delta","smartseq2"
"cell 5229","delta","smartseq2"
"cell 5230","delta","smartseq2"
"cell 5231","delta","smartseq2"
"cell 5232","delta","smartseq2"
"cell 5233","delta","smartseq2"
"cell 5234","delta","smartseq2"
"cell 5235","delta","smartseq2"
"cell 5236","delta","smartseq2"
"cell 5237","delta","smartseq2"
"cell 5238","delta","smartseq2"
"cell 5239","delta","smartseq2"
"cell 5240","delta","smartseq2"
"cell 5241","delta","smartseq2"
"cell 5242","delta","smartseq2"
"cell 5243","delta","smartseq2"
"cell 5244","delta","smartseq2"
"cell 5245","delta","smartseq2"
"cell 5246","delta","smartseq2"
"cell 5247","delta","smartseq2"
"cell 5248","delta","smartseq2"
"cell 5249","delta","smartseq2"
"cell 5250","delta","smartseq2"
"cell 5251","delta","smartseq2"
"cell 5252","delta","smartseq2"
"cell 5253","delta","smartseq2"
"cell 5254","delta","smartseq2"
"cell 5255","delta","smartseq2"
"cell 5256","delta","smartseq2"
"cell 5257","delta","smartseq2"
"cell 5258","delta","smartseq2"
"cell 5259","delta","smartseq2"
"cell 5260","delta","smartseq2"
"cell 5261","delta","smartseq2"
"cell 5262","delta","smartseq2"
"cell 5263","delta","smartseq2"
"cell 5264","delta","smartseq2"
"cell 5265","delta","smartseq2"
"cell 5266","delta","smartseq2"
"cell 5267","delta","smartseq2"
"cell 5268","delta","smartseq2"
"cell 5269","delta","smartseq2"
"cell 5270","delta","smartseq2"
"cell 5271","delta","smartseq2"
"cell 5272","delta","smartseq2"
"cell 5273","delta","smartseq2"
"cell 5274","delta","smartseq2"
"cell 5275","delta","smartseq2"
"cell 5276","delta","smartseq2"
"cell 5277","delta","smartseq2"
"cell 5278","delta","smartseq2"
"cell 5279","delta","smartseq2"
"cell 5280","delta","smartseq2"
"cell 5281","delta","smartseq2"
"cell 5282","delta","smartseq2"
"cell 5283","delta","smartseq2"
"cell 5284","delta","smartseq2"
"cell 5285","delta","smartseq2"
"cell 5286","delta","smartseq2"
"cell 5287","delta","smartseq2"
"cell 5288","delta","smartseq2"
"cell 5289","delta","smartseq2"
"cell 5290","delta","smartseq2"
"cell 5291","delta","smartseq2"
"cell 5292","delta","smartseq2"
"cell 5293","delta","smartseq2"
"cell 5294","delta","smartseq2"
"cell 5295","delta","smartseq2"
"cell 5296","delta","smartseq2"
"cell 5297","delta","smartseq2"
"cell 5298","delta","smartseq2"
"cell 5299","delta","smartseq2"
"cell 5300","delta","smartseq2"
"cell 5301","delta","smartseq2"
"cell 5302","delta","smartseq2"
"cell 5303","delta","smartseq2"
"cell 5304","delta","smartseq2"
"cell 5305","delta","smartseq2"
"cell 5306","delta","smartseq2"
"cell 5307","delta","smartseq2"
"cell 5308","delta","smartseq2"
"cell 5309","delta","smartseq2"
"cell 5310","delta","smartseq2"
"cell 5311","delta","smartseq2"
"cell 5312","delta","smartseq2"
"cell 5313","delta","smartseq2"
"cell 5314","delta","smartseq2"
"cell 5315","delta","smartseq2"
"cell 5316","delta","smartseq2"
"cell 5317","delta","smartseq2"
"cell 5318","delta","smartseq2"
"cell 5319","delta","smartseq2"
"cell 5320","delta","smartseq2"
"cell 5321","delta","smartseq2"
"cell 5322","delta","smartseq2"
"cell 5323","delta","smartseq2"
"cell 5324","delta","smartseq2"
"cell 5325","delta","smartseq2"
"cell 5326","delta","smartseq2"
"cell 5327","delta","smartseq2"
"cell 5328","delta","smartseq2"
"cell 5329","delta","smartseq2"
"cell 5330","delta","smartseq2"
"cell 5331","delta","smartseq2"
"cell 5332","delta","smartseq2"
"cell 5333","delta","smartseq2"
"cell 5334","delta","smartseq2"
"cell 5335","delta","smartseq2"
"cell 5336","delta","smartseq2"
"cell 5337","ductal","smartseq2"
"cell 5338","ductal","smartseq2"
"cell 5339","ductal","smartseq2"
"cell 5340","ductal","smartseq2"
"cell 5341","ductal","smartseq2"
"cell 5342","ductal","smartseq2"
"cell 5343","ductal","smartseq2"
"cell 5344","ductal","smartseq2"
"cell 5345","ductal","smartseq2"
"cell 5346","ductal","smartseq2"
"cell 5347","ductal","smartseq2"
"cell 5348","ductal","smartseq2"
"cell 5349","ductal","smartseq2"
"cell 5350","ductal","smartseq2"
